Country,Year,Variable,Unit,Value
Algeria,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.001267387
Algeria,1990,Fossil Fuel Consumption,Exajoules,1.132468331
Algeria,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.89946813
Algeria,1990,Primary Energy Consumption per Capita,Gigajoules per capita,44.43538443
Algeria,1990,Carbon Intensity,tonne CO2-eq per Megajoule,106.5409904
Algeria,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,120.8074073
Algeria,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.001877543
Algeria,2008,Fossil Fuel Consumption,Exajoules,1.521942084
Algeria,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.958482206
Algeria,2008,Primary Energy Consumption per Capita,Gigajoules per capita,44.10827211
Algeria,2008,Carbon Intensity,tonne CO2-eq per Megajoule,115.8867996
Algeria,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,176.704768
Algeria,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.00224532
Algeria,2012,Fossil Fuel Consumption,Exajoules,1.823515131
Algeria,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.236532976
Algeria,2012,Primary Energy Consumption per Capita,Gigajoules per capita,49.04968207
Algeria,2012,Carbon Intensity,tonne CO2-eq per Megajoule,104.0963905
Algeria,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,190.2485119
Algeria,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.002470183
Algeria,2017,Fossil Fuel Consumption,Exajoules,2.24011361
Algeria,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.499982273
Algeria,2017,Primary Energy Consumption per Capita,Gigajoules per capita,54.59040736
Algeria,2017,Carbon Intensity,tonne CO2-eq per Megajoule,103.1380379
Algeria,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,231.613049
Algeria,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.002927589
Algeria,2022,Fossil Fuel Consumption,Exajoules,2.458313053
Algeria,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.772382421
Algeria,2022,Primary Energy Consumption per Capita,Gigajoules per capita,54.90766229
Algeria,2022,Carbon Intensity,tonne CO2-eq per Megajoule,99.76047063
Algeria,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,245.9625443
Argentina,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.10292411
Argentina,1990,Fossil Fuel Consumption,Exajoules,1.582414007
Argentina,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.64537589
Argentina,1990,Primary Energy Consumption per Capita,Gigajoules per capita,56.58733715
Argentina,1990,Carbon Intensity,tonne CO2-eq per Megajoule,68.61821879
Argentina,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,126.7294856
Argentina,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.104472499
Argentina,2008,Fossil Fuel Consumption,Exajoules,2.756156419
Argentina,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.057175159
Argentina,2008,Carbon Intensity,tonne CO2-eq per Megajoule,62.93136574
Argentina,2008,Primary Energy Consumption per Capita,Gigajoules per capita,78.40937415
Argentina,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,198.7272483
Argentina,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.101768029
Argentina,2012,Fossil Fuel Consumption,Exajoules,2.990961778
Argentina,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.015503645
Argentina,2012,Carbon Intensity,tonne CO2-eq per Megajoule,62.6221515
Argentina,2012,Primary Energy Consumption per Capita,Gigajoules per capita,80.98097357
Argentina,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,212.7489507
Argentina,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.10979132
Argentina,2017,Fossil Fuel Consumption,Exajoules,3.121210843
Argentina,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.085416477
